source_file,bearing_id,label,N,M,F,run_id,channel_names,channel_lengths,channel_rasters,channel_xindices,finite,synchronized,sampling_raster,start_timestamp,stop_timestamp,accepted,rejection_reason
D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_1.mat,K001,0,N09,07,10,1,vibration_1|phase_current_1|phase_current_2,256823|256823|256823,HostService|HostService|HostService,2|2|2,True,True,HostService,0.9924019165442665,4.992401916544266,True,
D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_10.mat,K001,0,N09,07,10,10,vibration_1|phase_current_1|phase_current_2,256608|256608|256608,HostService|HostService|HostService,2|2|2,True,True,HostService,0.9924241581756388,4.992424158175639,True,
D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_11.mat,K001,0,N09,07,10,11,vibration_1|phase_current_1|phase_current_2,256096|256096|256096,HostService|HostService|HostService,2|2|2,True,True,HostService,0.993755234268537,4.993755234268537,True,
D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_12.mat,K001,0,N09,07,10,12,vibration_1|phase_current_1|phase_current_2,256000|256000|256000,HostService|HostService|HostService,2|2|2,True,True,HostService,-0.0030526639058528855,3.996947336094147,True,
D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_13.mat,K001,0,N09,07,10,13,vibration_1|phase_current_1|phase_current_2,256000|256000|256000,HostService|HostService|HostService,2|2|2,True,True,HostService,-0.0026826829224477085,3.9973173170775524,True,
D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_14.mat,K001,0,N09,07,10,14,vibration_1|phase_current_1|phase_current_2,256002|256002|256002,HostService|HostService|HostService,2|2|2,True,True,HostService,-0.0027190394352678707,3.997280960564732,True,
D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_15.mat,K001,0,N09,07,10,15,vibration_1|phase_current_1|phase_current_2,256001|256001|256001,HostService|HostService|HostService,2|2|2,True,True,HostService,-0.0029602755909216506,3.9970397244090785,True,
D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_16.mat,K001,0,N09,07,10,16,vibration_1|phase_current_1|phase_current_2,256001|256001|256001,HostService|HostService|HostService,2|2|2,True,True,HostService,-0.0028332416578912027,3.9971667583421087,True,
D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_17.mat,K001,0,N09,07,10,17,vibration_1|phase_current_1|phase_current_2,256001|256001|256001,HostService|HostService|HostService,2|2|2,True,True,HostService,-0.0026882433302907924,3.9973117566697094,True,
D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_18.mat,K001,0,N09,07,10,18,vibration_1|phase_current_1|phase_current_2,256000|256000|256000,HostService|HostService|HostService,2|2|2,True,True,HostService,-0.002823404013245747,3.9971765959867542,True,
D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_19.mat,K001,0,N09,07,10,19,vibration_1|phase_current_1|phase_current_2,256001|256001|256001,HostService|HostService|HostService,2|2|2,True,True,HostService,-0.0025222865423587594,3.9974777134576414,True,
D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_2.mat,K001,0,N09,07,10,2,vibration_1|phase_current_1|phase_current_2,256001|256001|256001,HostService|HostService|HostService,2|2|2,True,True,HostService,-0.004057814554410301,3.99594218544559,True,
D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_20.mat,K001,0,N09,07,10,20,vibration_1|phase_current_1|phase_current_2,256001|256001|256001,HostService|HostService|HostService,2|2|2,True,True,HostService,-0.00290082199936868,3.9970991780006315,True,
D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_3.mat,K001,0,N09,07,10,3,vibration_1|phase_current_1|phase_current_2,256001|256001|256001,HostService|HostService|HostService,2|2|2,True,True,HostService,-0.002977812261811376,3.9970221877381884,True,
D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_4.mat,K001,0,N09,07,10,4,vibration_1|phase_current_1|phase_current_2,256001|256001|256001,HostService|HostService|HostService,2|2|2,True,True,HostService,-0.004032151133596069,3.995967848866404,True,
D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_5.mat,K001,0,N09,07,10,5,vibration_1|phase_current_1|phase_current_2,256001|256001|256001,HostService|HostService|HostService,2|2|2,True,True,HostService,-0.002823404013245747,3.9971765959867542,True,
D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_6.mat,K001,0,N09,07,10,6,vibration_1|phase_current_1|phase_current_2,257462|257462|257462,HostService|HostService|HostService,2|2|2,True,True,HostService,0.9942779126057868,4.994277912605787,True,
D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_7.mat,K001,0,N09,07,10,7,vibration_1|phase_current_1|phase_current_2,256003|256003|256003,HostService|HostService|HostService,2|2|2,True,True,HostService,-0.002991499419578966,3.9970085005804212,True,
D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_8.mat,K001,0,N09,07,10,8,vibration_1|phase_current_1|phase_current_2,256813|256813|256813,HostService|HostService|HostService,2|2|2,True,True,HostService,0.9915019859210473,4.991501985921047,True,
D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_9.mat,K001,0,N09,07,10,9,vibration_1|phase_current_1|phase_current_2,256001|256001|256001,HostService|HostService|HostService,2|2|2,True,True,HostService,-0.00309928578699874,3.9969007142130013,True,
D:\code\putest\PU-dataset-main\K001\K001\N15_M01_F10_K001_1.mat,K001,0,N15,01,10,1,vibration_1|phase_current_1|phase_current_2,256070|256070|256070,HostService|HostService|HostService,2|2|2,True,True,HostService,0.9921016545207398,4.99210165452074,True,
D:\code\putest\PU-dataset-main\K001\K001\N15_M01_F10_K001_10.mat,K001,0,N15,01,10,10,vibration_1|phase_current_1|phase_current_2,256327|256327|256327,HostService|HostService|HostService,2|2|2,True,True,HostService,0.9940610566999065,4.994061056699906,True,
