sample_id,source_file,bearing_id,label,condition,run_id,window_index,window_start,window_end,signal_length,sampling_raster,start_timestamp,stop_timestamp
K001_N09_M07_F10_run01_w00,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_1.mat,K001,0,N09_M07_F10,1,0,0,2048,256823,HostService,0.9924019165442665,4.992401916544266
K001_N09_M07_F10_run01_w01,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_1.mat,K001,0,N09_M07_F10,1,1,28308,30356,256823,HostService,0.9924019165442665,4.992401916544266
K001_N09_M07_F10_run01_w02,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_1.mat,K001,0,N09_M07_F10,1,2,56617,58665,256823,HostService,0.9924019165442665,4.992401916544266
K001_N09_M07_F10_run01_w03,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_1.mat,K001,0,N09_M07_F10,1,3,84925,86973,256823,HostService,0.9924019165442665,4.992401916544266
K001_N09_M07_F10_run01_w04,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_1.mat,K001,0,N09_M07_F10,1,4,113233,115281,256823,HostService,0.9924019165442665,4.992401916544266
K001_N09_M07_F10_run01_w05,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_1.mat,K001,0,N09_M07_F10,1,5,141542,143590,256823,HostService,0.9924019165442665,4.992401916544266
K001_N09_M07_F10_run01_w06,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_1.mat,K001,0,N09_M07_F10,1,6,169850,171898,256823,HostService,0.9924019165442665,4.992401916544266
K001_N09_M07_F10_run01_w07,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_1.mat,K001,0,N09_M07_F10,1,7,198158,200206,256823,HostService,0.9924019165442665,4.992401916544266
K001_N09_M07_F10_run01_w08,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_1.mat,K001,0,N09_M07_F10,1,8,226467,228515,256823,HostService,0.9924019165442665,4.992401916544266
K001_N09_M07_F10_run01_w09,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_1.mat,K001,0,N09_M07_F10,1,9,254775,256823,256823,HostService,0.9924019165442665,4.992401916544266
K001_N09_M07_F10_run10_w00,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_10.mat,K001,0,N09_M07_F10,10,0,0,2048,256608,HostService,0.9924241581756388,4.992424158175639
K001_N09_M07_F10_run10_w01,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_10.mat,K001,0,N09_M07_F10,10,1,28284,30332,256608,HostService,0.9924241581756388,4.992424158175639
K001_N09_M07_F10_run10_w02,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_10.mat,K001,0,N09_M07_F10,10,2,56569,58617,256608,HostService,0.9924241581756388,4.992424158175639
K001_N09_M07_F10_run10_w03,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_10.mat,K001,0,N09_M07_F10,10,3,84853,86901,256608,HostService,0.9924241581756388,4.992424158175639
K001_N09_M07_F10_run10_w04,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_10.mat,K001,0,N09_M07_F10,10,4,113138,115186,256608,HostService,0.9924241581756388,4.992424158175639
K001_N09_M07_F10_run10_w05,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_10.mat,K001,0,N09_M07_F10,10,5,141422,143470,256608,HostService,0.9924241581756388,4.992424158175639
K001_N09_M07_F10_run10_w06,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_10.mat,K001,0,N09_M07_F10,10,6,169707,171755,256608,HostService,0.9924241581756388,4.992424158175639
K001_N09_M07_F10_run10_w07,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_10.mat,K001,0,N09_M07_F10,10,7,197991,200039,256608,HostService,0.9924241581756388,4.992424158175639
K001_N09_M07_F10_run10_w08,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_10.mat,K001,0,N09_M07_F10,10,8,226276,228324,256608,HostService,0.9924241581756388,4.992424158175639
K001_N09_M07_F10_run10_w09,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_10.mat,K001,0,N09_M07_F10,10,9,254560,256608,256608,HostService,0.9924241581756388,4.992424158175639
K001_N09_M07_F10_run11_w00,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_11.mat,K001,0,N09_M07_F10,11,0,0,2048,256096,HostService,0.993755234268537,4.993755234268537
K001_N09_M07_F10_run11_w01,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_11.mat,K001,0,N09_M07_F10,11,1,28228,30276,256096,HostService,0.993755234268537,4.993755234268537
K001_N09_M07_F10_run11_w02,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_11.mat,K001,0,N09_M07_F10,11,2,56455,58503,256096,HostService,0.993755234268537,4.993755234268537
K001_N09_M07_F10_run11_w03,D:\code\putest\PU-dataset-main\K001\K001\N09_M07_F10_K001_11.mat,K001,0,N09_M07_F10,11,3,84683,86731,256096,HostService,0.993755234268537,4.993755234268537
